sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.španělská liga W,2025-01-05,Levante_Valencia_UD,Colegio_Aleman_Valencia,0.0,1.0,1.55,3.69,4.97,away
Fotbal,1.španělská liga W,2025-02-16,Levante_Valencia_UD,Real_Betis,1.0,2.0,1.55,3.68,4.96,away
Fotbal,1.španělská liga W,2025-03-15,Athletic_Bilbao,Sevilla_FC,0.0,1.0,1.63,3.31,4.89,away
Fotbal,1.španělská liga W,2025-03-16,Real_Sociedad,Levante_Valencia_UD,1.0,2.0,1.61,3.62,4.58,away
Fotbal,1.španělská liga W,2025-03-29,Levante_Valencia_UD,Eibar_SD,1.0,2.0,1.71,3.15,4.67,away
