sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.norská liga W,2024-10-05,Stabaek,Arna_Bjornar_Bergen,0,0,1.34,4.52,6.6,draw
Fotbal,1.norská liga W,2024-11-09,Lillestrom_SK,Asane,1,1,1.36,4.09,7.35,draw
Fotbal,1.norská liga W,2024-11-16,Valerenga,Lillestrom_SK,1,1,1.52,4.04,4.73,draw
Fotbal,1.norská liga W,2025-03-29,Lyn,Honefoss,1,1,1.42,4.06,6.03,draw
