sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.nikaragujská liga,2024-10-20,Sébaco,Managua,1.0,2.0,2.96,3.48,2.17,away
Fotbal,1.nikaragujská liga,2024-10-21,Deportivo_Ocotal,Matagalpa,0.0,1.0,2.9,3.67,2.14,away
Fotbal,1.nikaragujská liga,2024-11-08,Rancho_Santana,UNAN_Managua,2.0,3.0,2.7,3.32,2.43,away
Fotbal,1.nikaragujská liga,2024-11-21,Deportivo_Ocotal,Sébaco,0.0,3.0,2.6,3.38,2.47,away
Fotbal,1.nikaragujská liga,2024-11-21,Managua,Real_Estelí,0.0,1.0,2.79,3.57,2.25,away
Fotbal,1.nikaragujská liga,2024-12-01,Matagalpa,Managua,1.0,5.0,2.48,3.26,2.67,away
Fotbal,1.nikaragujská liga,2025-02-09,Matagalpa,Walter_Ferretti,0.0,1.0,2.76,2.98,2.59,away
Fotbal,1.nikaragujská liga,2025-02-13,Deportivo_Ocotal,Matagalpa,0.0,1.0,2.9,3.63,2.15,away
Fotbal,1.nikaragujská liga,2025-04-06,Diriangén,Real_Estelí,2.0,4.0,2.66,3.13,2.57,away
