Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2,vysledek
Fotbal,1.belgická liga,3,11,24,Genk,Antwerp,2.0,0.0,"1,70","4,18","4,67",Tym1
Fotbal,1.belgická liga,3,11,24,Cercle_Bruggy,Charleroi,2.0,0.0,"2,17","3,54","3,33",Tym1
Fotbal,1.belgická liga,3,11,24,Anderlecht,Kortrijk,4.0,0.0,"1,50","4,63","6,20",Tym1
Fotbal,1.belgická liga,3,11,24,Beerschot,Gent,0.0,0.0,"5,20","4,22","1,63",Remiza
Fotbal,1.belgická liga,8,11,24,Sint_Truidense,Mechelen,2.0,1.0,"2,44","3,68","2,74",Tym1
Fotbal,1.belgická liga,9,11,24,Kortrijk,Antwerp,1.0,2.0,"3,14","3,60","2,23",Tym2
Fotbal,1.belgická liga,9,11,24,Dender_FC,Oud_Heverlee,1.0,1.0,"3,26","3,29","2,30",Remiza
Fotbal,1.belgická liga,9,11,24,Charleroi,Westerlo,1.0,0.0,"2,15","3,76","3,19",Tym1
Fotbal,1.belgická liga,10,11,24,Cercle_Bruggy,Anderlecht,0.0,5.0,"2,91","3,65","2,34",Tym2
Fotbal,1.belgická liga,10,11,24,Gent,Standard_Liege,5.0,0.0,"1,87","3,55","4,43",Tym1
Fotbal,1.belgická liga,10,11,24,Union_St-Gilloise,Genk,4.0,0.0,"2,21","3,44","3,32",Tym1
Fotbal,1.belgická liga,10,11,24,Beerschot,Club_Brugge,2.0,2.0,"10,90","6,14","1,26",Remiza
Fotbal,1.belgická liga,22,11,24,Antwerp,Dender_FC,1.0,1.0,"1,54","4,28","6,14",Remiza
Fotbal,1.belgická liga,23,11,24,Club_Brugge,Sint_Truidense,7.0,0.0,"1,34","5,27","8,97",Tym1
Fotbal,1.belgická liga,23,11,24,Standard_Liege,Cercle_Bruggy,1.0,0.0,"2,55","3,25","2,90",Tym1
Fotbal,1.belgická liga,23,11,24,Genk,Charleroi,3.0,0.0,"1,60","4,22","5,47",Tym1
Fotbal,1.belgická liga,24,11,24,Mechelen,Beerschot,3.0,0.0,"1,42","4,92","7,32",Tym1
Fotbal,1.belgická liga,24,11,24,Oud_Heverlee,Union_St-Gilloise,1.0,1.0,"4,25","3,26","2,00",Remiza
Fotbal,1.belgická liga,24,11,24,Anderlecht,Gent,6.0,0.0,"1,95","3,73","3,82",Tym1
Fotbal,1.belgická liga,24,11,24,Westerlo,Kortrijk,4.0,0.0,"1,75","4,08","4,39",Tym1
Fotbal,1.belgická liga,30,11,24,Club_Brugge,Dender_FC,4.0,1.0,"1,19","7,15","15,70",Tym1
Fotbal,1.belgická liga,30,11,24,Charleroi,Standard_Liege,1.0,1.0,"1,92","3,23","4,70",Remiza
Fotbal,1.belgická liga,1,12,24,Beerschot,Cercle_Bruggy,3.0,2.0,"3,95","3,83","1,89",Tym1
Fotbal,1.belgická liga,1,12,24,Oud_Heverlee,Anderlecht,0.0,0.0,"3,27","3,46","2,22",Remiza
Fotbal,1.belgická liga,29,11,24,Kortrijk,Mechelen,3.0,1.0,"3,41","3,66","2,09",Tym1
Fotbal,1.belgická liga,1,12,24,Sint_Truidense,Genk,2.0,2.0,"3,48","3,94","1,99",Remiza
Fotbal,1.belgická liga,1,12,24,Union_St-Gilloise,Antwerp,2.0,1.0,"1,87","3,55","4,41",Tym1
Fotbal,1.belgická liga,1,12,24,Westerlo,Gent,2.0,2.0,"2,24","3,85","2,96",Remiza
Fotbal,1.belgická liga,7,12,24,Genk,Kortrijk,3.0,2.0,"1,40","4,80","8,11",Tym1
Fotbal,1.belgická liga,7,12,24,Mechelen,Club_Brugge,1.0,2.0,"4,81","4,15","1,68",Tym2
Fotbal,1.belgická liga,7,12,24,Standard_Liege,Oud_Heverlee,1.0,1.0,"3,04","3,00","2,61",Remiza
Fotbal,1.belgická liga,7,12,24,Gent,Sint_Truidense,2.0,0.0,"1,72","4,06","4,65",Tym1
Fotbal,1.belgická liga,8,12,24,Antwerp,Charleroi,1.0,3.0,"1,90","3,65","4,12",Tym2
Fotbal,1.belgická liga,8,12,24,Cercle_Bruggy,Union_St-Gilloise,0.0,0.0,"4,16","3,84","1,85",Remiza
Fotbal,1.belgická liga,8,12,24,Anderlecht,Beerschot,2.0,1.0,"1,28","5,76","10,40",Tym1
Fotbal,1.belgická liga,8,12,24,Dender_FC,Westerlo,1.0,0.0,"2,74","3,65","2,46",Tym1
Fotbal,1.belgická liga,13,12,24,Mechelen,Antwerp,1.0,1.0,"2,42","3,32","3,01",Remiza
Fotbal,1.belgická liga,14,12,24,Beerschot,Standard_Liege,0.0,0.0,"2,79","3,38","2,55",Remiza
Fotbal,1.belgická liga,14,12,24,Oud_Heverlee,Charleroi,1.0,0.0,"2,54","3,27","2,89",Tym1
Fotbal,1.belgická liga,14,12,24,Kortrijk,Dender_FC,0.0,3.0,"2,13","3,28","3,70",Tym2
Fotbal,1.belgická liga,15,12,24,Club_Brugge,Genk,2.0,0.0,"1,59","4,33","5,39",Tym1
Fotbal,1.belgická liga,15,12,24,Union_St-Gilloise,Westerlo,3.0,1.0,"1,41","5,06","7,12",Tym1
Fotbal,1.belgická liga,15,12,24,Sint_Truidense,Anderlecht,0.0,2.0,"3,49","3,69","2,06",Tym2
Fotbal,1.belgická liga,15,12,24,Gent,Cercle_Bruggy,1.0,1.0,"1,96","3,83","3,67",Remiza
Fotbal,1.belgická liga,20,12,24,Westerlo,Mechelen,1.0,1.0,"2,27","3,77","2,94",Remiza
Fotbal,1.belgická liga,21,12,24,Charleroi,Sint_Truidense,2.0,1.0,"1,80","3,74","4,53",Tym1
Fotbal,1.belgická liga,21,12,24,Dender_FC,Antwerp,1.0,3.0,"3,74","3,52","2,03",Tym2
Fotbal,1.belgická liga,21,12,24,Beerschot,Kortrijk,2.0,2.0,"2,30","3,27","3,28",Remiza
Fotbal,1.belgická liga,22,12,24,Genk,Anderlecht,2.0,0.0,"2,04","3,56","3,67",Tym1
Fotbal,1.belgická liga,22,12,24,Standard_Liege,Gent,0.0,1.0,"2,99","3,30","2,45",Tym2
Fotbal,1.belgická liga,22,12,24,Union_St-Gilloise,Club_Brugge,2.0,2.0,"2,52","3,35","2,85",Remiza
Fotbal,1.belgická liga,22,12,24,Cercle_Bruggy,Oud_Heverlee,1.0,0.0,"2,43","3,23","3,08",Tym1
Fotbal,1.belgická liga,26,12,24,Antwerp,Genk,2.0,2.0,"2,43","3,45","2,91",Remiza
Fotbal,1.belgická liga,26,12,24,Club_Brugge,Westerlo,4.0,3.0,"1,29","5,91","9,43",Tym1
Fotbal,1.belgická liga,26,12,24,Kortrijk,Charleroi,0.0,1.0,"4,10","3,57","1,93",Tym2
Fotbal,1.belgická liga,26,12,24,Mechelen,Standard_Liege,0.0,0.0,"1,64","4,02","5,32",Remiza
Fotbal,1.belgická liga,26,12,24,Gent,Union_St-Gilloise,1.0,3.0,"3,16","3,68","2,19",Tym2
Fotbal,1.belgická liga,27,12,24,Oud_Heverlee,Beerschot,2.0,0.0,"1,71","3,90","4,96",Tym1
Fotbal,1.belgická liga,27,12,24,Anderlecht,Dender_FC,2.0,3.0,"1,56","4,19","6,06",Tym2
Fotbal,1.belgická liga,27,12,24,Sint_Truidense,Cercle_Bruggy,1.0,1.0,"2,48","3,47","2,82",Remiza
Fotbal,1.belgická liga,10,1,25,Standard_Liege,Kortrijk,1.0,0.0,"2,21","3,15","3,63",Tym1
Fotbal,1.belgická liga,11,1,25,Westerlo,Sint_Truidense,1.0,2.0,"2,11","3,83","3,23",Tym2
Fotbal,1.belgická liga,11,1,25,Genk,Oud_Heverlee,2.0,0.0,"1,51","4,47","6,24",Tym1
Fotbal,1.belgická liga,11,1,25,Charleroi,Union_St-Gilloise,1.0,2.0,"3,22","3,38","2,28",Tym2
Fotbal,1.belgická liga,12,1,25,Beerschot,Antwerp,1.0,1.0,"4,23","3,81","1,84",Remiza
Fotbal,1.belgická liga,12,1,25,Dender_FC,Gent,0.0,0.0,"3,17","3,37","2,31",Remiza
Fotbal,1.belgická liga,12,1,25,Anderlecht,Club_Brugge,0.0,3.0,"4,75","3,78","1,76",Tym2
Fotbal,1.belgická liga,12,1,25,Cercle_Bruggy,Mechelen,1.0,0.0,"2,50","3,40","2,85",Tym1
Fotbal,1.belgická liga,17,1,25,Gent,Charleroi,1.0,1.0,"2,19","3,42","3,38",Remiza
Fotbal,1.belgická liga,18,1,25,Dender_FC,Cercle_Bruggy,0.0,1.0,"2,66","3,23","2,77",Tym2
Fotbal,1.belgická liga,18,1,25,Mechelen,Genk,1.0,2.0,"2,82","3,57","2,44",Tym2
Fotbal,1.belgická liga,18,1,25,Club_Brugge,Beerschot,4.0,2.0,"1,21","6,79","13,20",Tym1
Fotbal,1.belgická liga,19,1,25,Kortrijk,Anderlecht,0.0,2.0,"3,53","3,51","2,10",Tym2
Fotbal,1.belgická liga,19,1,25,Union_St-Gilloise,Oud_Heverlee,1.0,0.0,"1,47","4,42","7,14",Tym1
Fotbal,1.belgická liga,19,1,25,Sint_Truidense,Standard_Liege,1.0,2.0,"1,77","3,83","4,63",Tym2
Fotbal,1.belgická liga,19,1,25,Antwerp,Westerlo,3.0,2.0,"1,94","3,85","3,75",Tym1
Fotbal,1.belgická liga,24,1,25,Sint_Truidense,Antwerp,1.0,1.0,"2,32","3,60","2,96",Remiza
Fotbal,1.belgická liga,25,1,25,Westerlo,Genk,1.0,2.0,"3,26","4,10","2,03",Tym2
Fotbal,1.belgická liga,25,1,25,Charleroi,Cercle_Bruggy,1.0,1.0,"1,97","3,50","4,02",Remiza
Fotbal,1.belgická liga,25,1,25,Club_Brugge,Kortrijk,1.0,1.0,"1,21","6,82","13,60",Remiza
Fotbal,1.belgická liga,26,1,25,Standard_Liege,Dender_FC,1.0,0.0,"2,67","3,02","2,94",Tym1
Fotbal,1.belgická liga,26,1,25,Beerschot,Union_St-Gilloise,0.0,4.0,"7,53","4,74","1,42",Tym2
Fotbal,1.belgická liga,26,1,25,Anderlecht,Mechelen,4.0,1.0,"2,10","3,44","3,60",Tym1
Fotbal,1.belgická liga,26,1,25,Oud_Heverlee,Gent,,,"2,49","3,24","2,98",nehrano
Fotbal,1.belgická liga,31,1,25,Oud_Heverlee,Mechelen,1.0,0.0,"2,34","3,36","3,11",Tym1
Fotbal,1.belgická liga,1,2,25,Charleroi,Dender_FC,5.0,0.0,"1,95","3,39","4,25",Tym1
Fotbal,1.belgická liga,1,2,25,Cercle_Bruggy,Standard_Liege,1.0,1.0,"1,73","3,76","5,00",Remiza
Fotbal,1.belgická liga,1,2,25,Genk,Beerschot,1.0,0.0,"1,19","7,21","14,60",Tym1
Fotbal,1.belgická liga,2,2,25,Antwerp,Club_Brugge,2.0,1.0,"4,57","3,83","1,78",Tym1
Fotbal,1.belgická liga,2,2,25,Union_St-Gilloise,Sint_Truidense,2.0,1.0,"1,37","5,03","8,63",Tym1
Fotbal,1.belgická liga,2,2,25,Gent,Anderlecht,1.0,0.0,"2,15","3,37","3,54",Tym1
Fotbal,1.belgická liga,2,2,25,Kortrijk,Westerlo,1.0,2.0,"3,12","3,73","2,19",Tym2
Fotbal,1.belgická liga,7,2,25,Mechelen,Gent,3.0,3.0,"2,16","3,57","3,33",Remiza
Fotbal,1.belgická liga,8,2,25,Club_Brugge,Oud_Heverlee,1.0,0.0,"1,30","5,52","10,20",Tym1
Fotbal,1.belgická liga,8,2,25,Dender_FC,Sint_Truidense,2.0,1.0,"2,80","3,38","2,55",Tym1
Fotbal,1.belgická liga,8,2,25,Genk,Cercle_Bruggy,2.0,1.0,"1,70","3,90","4,98",Tym1
Fotbal,1.belgická liga,9,2,25,Anderlecht,Antwerp,2.0,0.0,"1,88","3,77","4,07",Tym1
Fotbal,1.belgická liga,9,2,25,Kortrijk,Union_St-Gilloise,1.0,2.0,"6,27","4,43","1,51",Tym2
Fotbal,1.belgická liga,9,2,25,Westerlo,Standard_Liege,4.0,2.0,"1,74","4,09","4,52",Tym1
Fotbal,1.belgická liga,9,2,25,Beerschot,Charleroi,1.0,1.0,"4,36","3,75","1,83",Remiza
Fotbal,1.belgická liga,14,2,25,Standard_Liege,Genk,1.0,2.0,"4,74","3,71","1,78",Tym2
Fotbal,1.belgická liga,15,2,25,Oud_Heverlee,Dender_FC,,,"2,15","3,22","3,74",nehrano
Fotbal,1.belgická liga,15,2,25,Antwerp,Kortrijk,,,"1,65","4,16","5,10",nehrano
Fotbal,1.belgická liga,15,2,25,Sint_Truidense,Club_Brugge,,,"4,30","4,07","1,71",nehrano
Fotbal,1.belgická liga,16,2,25,Gent,Beerschot,,,"1,47","4,41","6,41",nehrano
Fotbal,1.belgická liga,16,2,25,Union_St-Gilloise,Mechelen,,,"1,54","4,28","5,54",nehrano
Fotbal,1.belgická liga,16,2,25,Charleroi,Anderlecht,,,"2,57","3,25","2,71",nehrano
Fotbal,1.belgická liga,16,2,25,Cercle_Bruggy,Westerlo,,,"2,29","3,55","2,88",nehrano
