Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2,vysledek
Fotbal,1.belgická liga,13,9,24,Dender_FC,Standard_Liege,0.0,2.0,"1,98","3,37","4,15",Tym2
Fotbal,1.belgická liga,14,9,24,Cercle_Bruggy,Genk,2.0,3.0,"2,86","4,01","2,24",Tym2
Fotbal,1.belgická liga,14,9,24,Kortrijk,Club_Brugge,0.0,3.0,"7,16","4,98","1,42",Tym2
Fotbal,1.belgická liga,14,9,24,Anderlecht,Westerlo,2.0,2.0,"1,73","4,10","4,53",Remiza
Fotbal,1.belgická liga,15,9,24,Antwerp,Union_St-Gilloise,2.0,0.0,"2,66","3,50","2,60",Tym1
Fotbal,1.belgická liga,15,9,24,Sint_Truidense,Oud_Heverlee,2.0,1.0,"2,94","3,42","2,42",Tym1
Fotbal,1.belgická liga,15,9,24,Charleroi,Beerschot,3.0,0.0,"1,49","4,42","6,83",Tym1
Fotbal,1.belgická liga,15,9,24,Gent,Mechelen,2.0,0.0,"1,78","4,15","4,19",Tym1
Fotbal,1.belgická liga,17,9,24,Anderlecht,Genk,0.0,2.0,"2,58","3,70","2,58",Tym2
Fotbal,1.belgická liga,20,9,24,Standard_Liege,Union_St-Gilloise,0.0,0.0,"4,88","3,57","1,79",Remiza
Fotbal,1.belgická liga,21,9,24,Beerschot,Sint_Truidense,0.0,3.0,"2,61","3,38","2,73",Tym2
Fotbal,1.belgická liga,21,9,24,Westerlo,Antwerp,1.0,2.0,"3,05","3,79","2,21",Tym2
Fotbal,1.belgická liga,21,9,24,Anderlecht,Charleroi,0.0,0.0,"2,28","3,52","3,10",Remiza
Fotbal,1.belgická liga,22,9,24,Club_Brugge,Gent,2.0,4.0,"1,47","4,81","6,34",Tym2
Fotbal,1.belgická liga,22,9,24,Mechelen,Cercle_Bruggy,2.0,0.0,"2,06","4,06","3,21",Tym1
Fotbal,1.belgická liga,22,9,24,Genk,Dender_FC,4.0,0.0,"1,48","4,72","6,36",Tym1
Fotbal,1.belgická liga,22,9,24,Oud_Heverlee,Kortrijk,1.0,1.0,"1,76","3,82","4,69",Remiza
Fotbal,1.belgická liga,26,9,24,Cercle_Bruggy,Gent,2.0,1.0,"3,26","3,70","2,14",Tym1
Fotbal,1.belgická liga,27,9,24,Charleroi,Club_Brugge,1.0,1.0,"3,88","3,92","1,88",Remiza
Fotbal,1.belgická liga,28,9,24,Genk,Mechelen,2.0,1.0,"1,39","5,29","7,20",Tym1
Fotbal,1.belgická liga,28,9,24,Standard_Liege,Westerlo,1.0,2.0,"2,84","3,37","2,52",Tym2
Fotbal,1.belgická liga,28,9,24,Dender_FC,Anderlecht,1.0,1.0,"3,73","3,81","1,95",Remiza
Fotbal,1.belgická liga,29,9,24,Antwerp,Beerschot,4.0,0.0,"1,23","6,67","11,70",Tym1
Fotbal,1.belgická liga,29,9,24,Union_St-Gilloise,Kortrijk,3.0,0.0,"1,34","5,12","9,62",Tym1
Fotbal,1.belgická liga,29,9,24,Gent,Oud_Heverlee,3.0,0.0,"2,15","3,57","3,33",Tym1
Fotbal,1.belgická liga,29,9,24,Cercle_Bruggy,Sint_Truidense,1.0,1.0,"1,95","3,72","3,84",Remiza
Fotbal,1.belgická liga,4,10,24,Westerlo,Beerschot,2.0,2.0,"1,37","5,31","7,68",Remiza
Fotbal,1.belgická liga,5,10,24,Mechelen,Oud_Heverlee,5.0,0.0,"2,45","3,53","2,82",Tym1
Fotbal,1.belgická liga,5,10,24,Kortrijk,Genk,2.0,1.0,"5,05","4,17","1,65",Tym1
Fotbal,1.belgická liga,5,10,24,Dender_FC,Charleroi,1.0,0.0,"3,58","3,33","2,15",Tym1
Fotbal,1.belgická liga,6,10,24,Anderlecht,Standard_Liege,3.0,0.0,"1,77","3,79","4,66",Tym1
Fotbal,1.belgická liga,6,10,24,Antwerp,Cercle_Bruggy,3.0,0.0,"1,70","4,20","4,61",Tym1
Fotbal,1.belgická liga,6,10,24,Club_Brugge,Union_St-Gilloise,1.0,1.0,"2,11","3,50","3,51",Remiza
Fotbal,1.belgická liga,6,10,24,Sint_Truidense,Gent,1.0,1.0,"2,60","3,53","2,65",Remiza
Fotbal,1.belgická liga,18,10,24,Beerschot,Anderlecht,2.0,1.0,"6,23","4,75","1,48",Tym1
Fotbal,1.belgická liga,19,10,24,Westerlo,Club_Brugge,1.0,2.0,"3,65","3,97","1,93",Tym2
Fotbal,1.belgická liga,19,10,24,Cercle_Bruggy,Dender_FC,0.0,0.0,"1,98","3,70","3,73",Remiza
Fotbal,1.belgická liga,19,10,24,Union_St-Gilloise,Gent,0.0,0.0,"1,54","4,14","6,46",Remiza
Fotbal,1.belgická liga,20,10,24,Genk,Sint_Truidense,3.0,2.0,"1,50","4,67","6,13",Tym1
Fotbal,1.belgická liga,20,10,24,Oud_Heverlee,Antwerp,1.0,1.0,"2,83","3,44","2,49",Remiza
Fotbal,1.belgická liga,20,10,24,Standard_Liege,Charleroi,2.0,1.0,"3,08","3,09","2,51",Tym1
Fotbal,1.belgická liga,20,10,24,Mechelen,Kortrijk,3.0,0.0,"1,70","4,06","4,81",Tym1
Fotbal,1.belgická liga,25,10,24,Kortrijk,Beerschot,1.0,0.0,"1,78","3,88","4,51",Tym1
Fotbal,1.belgická liga,26,10,24,Charleroi,Oud_Heverlee,0.0,2.0,"2,07","3,30","3,87",Tym2
Fotbal,1.belgická liga,26,10,24,Dender_FC,Mechelen,2.0,5.0,"2,72","3,44","2,58",Tym2
Fotbal,1.belgická liga,26,10,24,Sint_Truidense,Westerlo,2.0,0.0,"2,47","3,75","2,68",Tym1
Fotbal,1.belgická liga,27,10,24,Club_Brugge,Anderlecht,2.0,1.0,"1,61","4,44","5,02",Tym1
Fotbal,1.belgická liga,27,10,24,Antwerp,Standard_Liege,3.0,0.0,"1,79","3,74","4,63",Tym1
Fotbal,1.belgická liga,27,10,24,Gent,Genk,0.0,2.0,"2,87","3,75","2,33",Tym2
Fotbal,1.belgická liga,27,10,24,Union_St-Gilloise,Cercle_Bruggy,1.0,3.0,"1,42","4,70","7,92",Tym2
Fotbal,1.belgická liga,1,11,24,Westerlo,Dender_FC,2.0,0.0,"1,84","4,04","3,98",Tym1
Fotbal,1.belgická liga,2,11,24,Standard_Liege,Sint_Truidense,2.0,1.0,"2,38","3,23","3,17",Tym1
Fotbal,1.belgická liga,2,11,24,Oud_Heverlee,Club_Brugge,0.0,1.0,"4,99","3,86","1,71",Tym2
Fotbal,1.belgická liga,2,11,24,Mechelen,Union_St-Gilloise,1.0,1.0,"3,28","3,67","2,14",Remiza
