home_team,away_team,home_score,away_score,result,date
Aston_Villa,Brentford,3,1,home_team,2024-12-04
Fulham,Brighton,3,1,home_team,2024-12-05
Bournemouth,Tottenham,1,0,home_team,2024-12-05
Everton,Liverpool,0,0,nehrano,2024-12-07
Aston_Villa,Southampton,1,0,home_team,2024-12-07
Brentford,Newcastle,4,2,home_team,2024-12-07
Crystal_Palace,Manchester_City,2,2,draw,2024-12-07
Manchester_United,Nottingham,2,3,away_team,2024-12-07
Fulham,Arsenal,1,1,draw,2024-12-08
Ipswich,Bournemouth,1,2,away_team,2024-12-08
Leicester,Brighton,2,2,draw,2024-12-08
Tottenham,Chelsea,3,4,away_team,2024-12-08
West_Ham,Wolverhampton_Wanderers,2,1,home_team,2024-12-09
Arsenal,Everton,0,0,draw,2024-12-14
Bournemouth,West_Ham,0,0,nehrano,2024-12-14
Brighton,Crystal_Palace,0,0,nehrano,2024-12-14
Chelsea,Brentford,0,0,nehrano,2024-12-14
Liverpool,Fulham,2,2,draw,2024-12-14
Manchester_City,Manchester_United,0,0,nehrano,2024-12-14
Newcastle,Leicester,4,0,home_team,2024-12-14
Southampton,Tottenham,0,0,nehrano,2024-12-14
Wolverhampton_Wanderers,Ipswich,1,2,away_team,2024-12-14
Nottingham,Aston_Villa,2,1,home_team,2024-12-14
Brighton,Crystal_Palace,1,3,away_team,2024-12-15
Manchester_City,Manchester_United,1,2,away_team,2024-12-15
Chelsea,Brentford,2,1,home_team,2024-12-15
Southampton,Tottenham,0,5,away_team,2024-12-15
Bournemouth,West_Ham,1,1,draw,2024-12-16
Aston_Villa,Manchester_City,2,1,home_team,2024-12-21
Brentford,Nottingham,0,2,away_team,2024-12-21
Ipswich,Newcastle,0,4,away_team,2024-12-21
West_Ham,Brighton,1,1,draw,2024-12-21
Crystal_Palace,Arsenal,1,5,away_team,2024-12-21
Everton,Chelsea,0,0,draw,2024-12-22
Fulham,Southampton,0,0,draw,2024-12-22
Leicester,Wolverhampton_Wanderers,0,3,away_team,2024-12-22
Manchester_United,Bournemouth,0,3,away_team,2024-12-22
Tottenham,Liverpool,3,6,away_team,2024-12-22
Arsenal,Ipswich,0,0,nehrano,2024-12-26
Bournemouth,Crystal_Palace,0,0,draw,2024-12-26
Brighton,Brentford,0,0,nehrano,2024-12-26
Chelsea,Fulham,1,2,away_team,2024-12-26
Liverpool,Leicester,3,1,home_team,2024-12-26
Manchester_City,Everton,1,1,draw,2024-12-26
Newcastle,Aston_Villa,3,0,home_team,2024-12-26
Nottingham,Tottenham,1,0,home_team,2024-12-26
Southampton,West_Ham,0,1,away_team,2024-12-26
Wolverhampton_Wanderers,Manchester_United,2,0,home_team,2024-12-26
Brighton,Brentford,0,0,draw,2024-12-27
Arsenal,Ipswich,1,0,home_team,2024-12-27
Leicester,Manchester_City,0,2,away_team,2024-12-29
Brentford,Arsenal,0,0,nehrano,2024-12-29
Crystal_Palace,Southampton,2,1,home_team,2024-12-29
Everton,Nottingham,0,2,away_team,2024-12-29
Fulham,Bournemouth,2,2,draw,2024-12-29
Tottenham,Wolverhampton_Wanderers,2,2,draw,2024-12-29
West_Ham,Liverpool,0,5,away_team,2024-12-29
Aston_Villa,Brighton,2,2,draw,2024-12-30
Ipswich,Chelsea,2,0,home_team,2024-12-30
Manchester_United,Newcastle,0,2,away_team,2024-12-30
Brentford,Arsenal,1,3,away_team,2025-01-01
Aston_Villa,Leicester,2,1,home_team,2025-01-04
Bournemouth,Everton,1,0,home_team,2025-01-04
Brighton,Arsenal,1,1,draw,2025-01-04
Crystal_Palace,Chelsea,1,1,draw,2025-01-04
Manchester_City,West_Ham,4,1,home_team,2025-01-04
Southampton,Brentford,0,5,away_team,2025-01-04
Tottenham,Newcastle,1,2,away_team,2025-01-04
Wolverhampton_Wanderers,Nottingham,0,0,nehrano,2025-01-04
Fulham,Ipswich,2,2,draw,2025-01-05
Liverpool,Manchester_United,2,2,draw,2025-01-05
Wolverhampton_Wanderers,Nottingham,0,3,away_team,2025-01-06
Brentford,Manchester_City,2,2,draw,2025-01-14
West_Ham,Fulham,3,2,home_team,2025-01-14
Nottingham,Liverpool,1,1,draw,2025-01-14
Everton,Aston_Villa,0,1,away_team,2025-01-15
Leicester,Crystal_Palace,0,2,away_team,2025-01-15
Chelsea,Bournemouth,0,0,nehrano,2025-01-15
Newcastle,Wolverhampton_Wanderers,3,0,home_team,2025-01-15
Arsenal,Tottenham,2,1,home_team,2025-01-15
Manchester_United,Southampton,0,0,nehrano,2025-01-15
Ipswich,Brighton,0,2,away_team,2025-01-16
Arsenal,Aston_Villa,2,2,draw,2025-01-18
Brentford,Liverpool,0,2,away_team,2025-01-18
Chelsea,Wolverhampton_Wanderers,0,0,nehrano,2025-01-18
Everton,Tottenham,0,0,nehrano,2025-01-18
Ipswich,Manchester_City,0,0,nehrano,2025-01-18
