date,home_team,away_team,home_score,away_score
2024-09-11,Bali_United_Pusam,Arema_Malang_ISL,0.0,0.0
2024-09-11,Dewa_United_FC,Semarang_PSIS,2.0,1.0
2024-09-11,Makassar_PSM,Persib_Maung_Bandung,0.0,0.0
2024-09-12,Sleman_PSS,Pusamania_Borneo,1.0,1.0
2024-09-12,PSBS_Biak_Numfor,Persija_Jakarta_ISL,3.0,1.0
2024-09-13,Malut_United,Semen_Padang,2.0,1.0
2024-09-13,Persis_Solo,Madura_United,4.0,0.0
2024-09-14,Barito_Putra,Persik_Kediri,2.0,2.0
2024-09-14,Persita_Tangerang,Persebaya_Surabaya,0.0,1.0
2024-09-15,Makassar_PSM,Arema_Malang_ISL,0.0,1.0
2024-09-15,Persib_Maung_Bandung,Semarang_PSIS,2.0,1.0
2024-09-16,Bali_United_Pusam,Sleman_PSS,0.0,0.0
2024-09-16,Persija_Jakarta_ISL,Dewa_United_FC,0.0,0.0
2024-09-17,PSBS_Biak_Numfor,Madura_United,2.0,1.0
2024-09-17,Pusamania_Borneo,Malut_United,1.0,0.0
2024-09-18,Persik_Kediri,Persita_Tangerang,1.0,0.0
2024-09-18,Semen_Padang,Barito_Putra,1.0,2.0
2024-09-18,Persebaya_Surabaya,Persis_Solo,2.0,1.0
2024-09-20,Sleman_PSS,Arema_Malang_ISL,3.0,1.0
2024-09-20,Makassar_PSM,Semarang_PSIS,0.0,0.0
2024-09-21,Dewa_United_FC,Madura_United,3.0,3.0
2024-09-21,Malut_United,Bali_United_Pusam,1.0,4.0
2024-09-22,Persita_Tangerang,Semen_Padang,1.0,0.0
2024-09-22,PSBS_Biak_Numfor,Persebaya_Surabaya,0.0,1.0
2024-09-23,Persib_Maung_Bandung,Persija_Jakarta_ISL,2.0,0.0
2024-09-23,Persis_Solo,Persik_Kediri,0.0,1.0
2024-09-23,Barito_Putra,Pusamania_Borneo,1.0,1.0
2024-09-26,Semarang_PSIS,Arema_Malang_ISL,1.0,2.0
2024-09-26,Sleman_PSS,Malut_United,0.0,1.0
2024-09-27,Bali_United_Pusam,Barito_Putra,3.0,2.0
2024-09-27,Persebaya_Surabaya,Dewa_United_FC,0.0,0.0
2024-09-28,Persik_Kediri,PSBS_Biak_Numfor,0.0,1.0
2024-09-28,Madura_United,Persib_Maung_Bandung,2.0,2.0
2024-09-29,Semen_Padang,Persis_Solo,0.0,0.0
2024-09-29,Persija_Jakarta_ISL,Makassar_PSM,1.0,1.0
